<#f0f000>Basic Attacks:</>
^A Combo <#bebebe>(4 Inputs)</>				^A
^A Crouch (Low Kick) 						_D+^A
^A Launcher (Anti-Air) 					~DF+^A
^B Combo <#bebebe>(4 Inputs)</>				^B
^B Crouch (Low Sweep) 						_D+^B
^B Launcher (Jump Kick) 					~DF+^B
^C Ki Blast									^C
Instant Transmission						_D+^C
Super Dash									~F+^S

_AIR^A Combo <#bebebe>(3 Inputs)</>			_AIR^A
_AIR^A Vertical Kick (Ground Bounce) 		_AIR_D+^A
_AIR^A (Overhead) 							_AIR~DF+^A
_AIR^B Combo <#bebebe>(2 Inputs)</>			_AIR^B
_AIR^B (Flip Kick) 							_AIR_D+^B
_AIR^C Air Ki Blast 						_AIR^C
Instant Transmission						_AIR_D+^C
Jump Cancel 								~UF

<#f0f000>Unique Skills:</>
Angry Throw									^A+^B
Rising Dragon Fist							^B+^C

<#f0f000>Special Moves:</>
Super Dragon Fist (3 Inputs)				_QDF^A
Solar Flare					 				_QDB^A
Super Bombardment Fist						_QDF^B
Super Bombardment Fist						_AIR_QDF^B
Super Ki Blast								_QDB^B
Super Ki Blast								_AIR_QDB^B
X10 Kamehameha 								_QDF^C
X10 Kamehameha 								_AIR_QDF^C
Dragon Fist 								_QDB^C

<#f0f000>Super Moves:</>
Dragon Fist Explosion						^X
x10 Super Kamehameha						^Y

<#f0f000>Ultimate Moves/ Super Art:</>
Super Saiyan 5 								^Z
_!	Only Works When Player 2 is at Low HP

<#f0f000>Enhancements:</>
Full Power Super Saiyan 4					~D+^S
_!	Attack Boost & Will Drain Ki Over Time

